"","BusinessTravel","Department","State","MaritalStatus","Attrition","OverTime","EducationField_Grouped","Ethnicity_Grouped","Gender_Grouped","JobRole_Grouped","Education","StockOptionLevel","EnvironmentSatisfaction","JobSatisfaction","RelationshipSatisfaction","WorkLifeBalance","ManagerRating","Age","DistanceFromHome..KM.","Salary","YearsSinceLastPromotion","TrainingOpportunitiesWithinYear","TrainingOpportunitiesTaken"
"1","Frequent Traveller","Sales","CA","Married","No","No","Business","White","Other","Sales","4","1","3","4","5","4","4",24,17,56155,2,3,0
"2","Some Travel","Technology","CA","Married","No","No","STEM","Black","Male","AI/ML","2","0","4","5","5","4","4",30,6,126238,6,1,2
"3","Some Travel","Sales","CA","Married","Yes","Yes","Business","White","Male","Sales","1","1","1","3","4","2","4",23,35,97824,1,3,2
"4","Frequent Traveller","Technology","CA","Single","Yes","Yes","STEM","Black","Female","Software Engineer","1","0","3","4","5","3","4",30,44,68508,4,3,0
"5","Frequent Traveller","Technology","CA","Single","Yes","No","Business","White","Female","AI/ML","1","0","1","2","2","2","4",30,37,109778,0,3,0
"6","No Travel ","Technology","CA","Single","No","No","STEM","Asian","Female","AI/ML","4","0","3","5","2","2","4",34,8,104268,7,3,1
"7","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","AI/ML","4","0","3","2","4","4","3",27,28,93291,2,3,3
"8","Some Travel","Sales","CA","Married","No","Yes","STEM","White","Male","Sales","2","1","3","4","3","4","2",20,39,22558,1,2,0
"9","Some Travel","Sales","NY","Single","Yes","Yes","STEM","White","Male","Sales","3","0","3","3","3","5","3",36,7,243989,1,3,3
"10","Frequent Traveller","Technology","IL","Married","No","No","Business","Mixed/Other","Female","Software Engineer","3","0","5","3","2","5","3",32,14,86639,9,3,1
"11","Some Travel","Technology","CA","Single","No","No","STEM","Asian","Other","Software Engineer","4","0","4","4","2","3","4",35,31,77269,8,3,1
"12","Frequent Traveller","Sales","CA","Married","Yes","No","STEM","White","Male","Sales","3","1","4","2","2","3","2",29,42,78726,1,2,0
"13","Some Travel","Sales","IL","Married","No","Yes","Business","White","Female","Sales","4","0","3","5","4","2","2",23,7,72622,2,1,1
"14","Some Travel","Sales","CA","Married","No","No","Business","Black","Male","Sales","4","2","3","4","5","2","3",32,39,105748,1,2,2
"15","Some Travel","Technology","IL","Married","Yes","Yes","STEM","White","Female","AI/ML","2","1","5","4","4","4","2",25,1,32354,6,3,1
"16","Some Travel","Technology","NY","Married","No","No","Other","White","Male","Software Engineer","4","2","4","5","5","3","2",23,8,42250,2,2,0
"17","Some Travel","Technology","CA","Single","No","No","Other","White","Other","Software Engineer","4","0","3","5","3","5","3",22,30,44135,1,3,0
"18","Some Travel","Technology","IL","Married","No","No","Other","Mixed/Other","Male","AI/ML","3","1","4","5","5","2","4",31,45,195261,4,3,2
"19","Frequent Traveller","Technology","CA","Single","Yes","Yes","STEM","White","Male","Software Engineer","2","0","5","3","3","2","2",22,45,26782,2,3,2
"20","Some Travel","Technology","NY","Married","No","No","STEM","Black","Female","Software Engineer","3","1","4","2","4","5","2",34,41,50386,9,2,0
"21","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","AI/ML","2","1","1","1","3","4","4",26,27,42052,7,3,2
"22","Some Travel","Sales","CA","Single","No","No","Business","White","Male","Sales","4","0","5","2","2","3","2",29,17,140158,1,3,1
"23","Frequent Traveller","Technology","NY","Married","No","No","STEM","White","Male","Management","3","1","5","4","3","3","5",39,42,495977,2,3,1
"24","Some Travel","Technology","CA","Married","No","No","STEM","Asian","Male","AI/ML","3","0","3","3","5","5","4",44,29,57890,8,1,0
"25","Some Travel","Technology","CA","Single","No","No","Other","White","Male","Software Engineer","3","0","5","3","4","2","4",24,1,54501,4,1,2
"26","Some Travel","Technology","CA","Married","No","No","Business","Mixed/Other","Female","Software Engineer","2","0","4","5","5","5","3",26,16,34630,6,1,1
"27","Frequent Traveller","Sales","CA","Single","Yes","Yes","Business","Asian","Other","Sales","3","0","3","5","4","4","3",27,41,28984,1,1,3
"28","Some Travel","Technology","NY","Single","No","No","STEM","White","Female","AI/ML","1","0","5","3","2","4","5",24,5,100818,3,1,0
"29","No Travel ","Technology","CA","Married","No","Yes","STEM","Black","Female","Software Engineer","2","1","3","5","2","4","5",24,7,126527,5,1,2
"30","Some Travel","Sales","CA","Divorced","Yes","Yes","Business","Mixed/Other","Male","Sales","2","2","3","2","4","2","2",25,4,57698,6,1,0
"31","No Travel ","Technology","CA","Divorced","No","Yes","STEM","White","Male","Software Engineer","3","1","4","5","2","4","5",38,4,45942,5,1,0
"32","Some Travel","Sales","CA","Married","Yes","No","Business","White","Female","Sales","3","2","3","4","5","4","4",21,36,76057,0,1,1
"33","Frequent Traveller","Sales","NY","Married","Yes","No","Business","White","Male","Sales","3","0","3","3","4","2","2",34,45,341971,0,3,0
"34","Some Travel","Sales","CA","Married","Yes","Yes","Business","Black","Female","Sales","2","3","5","3","5","3","3",20,32,38532,0,2,1
"35","Frequent Traveller","Technology","NY","Married","No","Yes","STEM","White","Female","Software Engineer","4","2","5","4","5","2","2",24,30,66110,2,3,3
"36","Some Travel","Technology","CA","Single","Yes","No","STEM","White","Male","AI/ML","2","0","1","4","3","4","4",39,5,58685,6,3,0
"37","No Travel ","Sales","NY","Divorced","No","Yes","Business","White","Male","Sales","4","1","4","3","3","2","3",25,35,149519,4,2,1
"38","Some Travel","Sales","NY","Divorced","No","No","Business","White","Male","Management","2","1","4","4","3","4","4",44,40,285620,8,2,1
"39","Some Travel","Technology","CA","Divorced","No","No","STEM","Asian","Male","AI/ML","3","1","5","3","3","3","2",26,18,54470,6,1,0
"40","Frequent Traveller","Technology","NY","Married","No","Yes","STEM","Black","Male","Software Engineer","4","0","3","4","4","2","5",27,9,39001,7,2,0
"41","Frequent Traveller","Sales","CA","Single","Yes","Yes","Business","Asian","Male","Sales","2","0","2","1","2","3","3",24,23,38448,3,3,0
"42","Some Travel","Technology","NY","Divorced","No","No","STEM","White","Female","Software Engineer","3","1","3","4","5","3","2",23,5,23995,4,1,1
"43","Some Travel","Technology","CA","Single","No","No","STEM","White","Other","Management","3","0","3","4","4","3","2",33,44,230945,2,1,0
"44","No Travel ","Sales","NY","Married","No","No","Other","White","Male","Sales","4","0","5","4","2","4","4",47,17,176158,10,3,1
"45","Some Travel","Technology","CA","Single","No","No","STEM","White","Other","Management","3","0","2","1","4","3","3",33,26,267009,1,3,2
"46","Some Travel","Technology","NY","Divorced","No","No","STEM","White","Male","Management","3","1","5","3","3","5","2",51,30,232658,1,1,0
"47","Some Travel","Technology","NY","Single","Yes","No","STEM","White","Male","AI/ML","4","0","5","4","4","3","5",21,25,34634,1,3,1
"48","Some Travel","Technology","NY","Married","No","No","STEM","Black","Female","Software Engineer","4","1","3","4","2","3","2",26,43,30217,4,3,0
"49","Some Travel","Technology","NY","Married","No","Yes","STEM","Mixed/Other","Male","AI/ML","2","1","4","3","4","1","5",23,33,26198,4,2,0
"50","Some Travel","Sales","CA","Married","No","Yes","Business","White","Female","Sales","3","1","5","5","3","4","3",26,42,92364,5,1,1
"51","Some Travel","Technology","CA","Single","Yes","Yes","Business","White","Female","Software Engineer","3","0","3","4","2","5","2",26,20,33273,1,3,0
"52","No Travel ","Sales","CA","Single","No","Yes","STEM","Mixed/Other","Male","Sales","3","0","4","4","3","3","4",22,14,53014,3,1,2
"53","Some Travel","Technology","NY","Married","No","No","STEM","Mixed/Other","Male","Software Engineer","4","2","3","2","3","4","4",25,28,29126,2,2,0
"54","Some Travel","Technology","CA","Married","No","No","STEM","White","Male","AI/ML","2","1","3","4","4","5","2",23,8,46850,4,3,0
"55","Some Travel","Sales","CA","Single","No","No","Business","Mixed/Other","Female","Sales","3","0","3","3","3","4","5",24,33,91915,4,2,1
"56","Frequent Traveller","Technology","CA","Single","No","Yes","STEM","White","Female","Management","4","0","4","4","1","3","4",39,25,300594,4,2,0
"57","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","AI/ML","2","1","3","4","4","3","3",20,30,41179,0,1,0
"58","Some Travel","Technology","NY","Married","No","No","STEM","White","Male","Software Engineer","4","2","3","2","3","2","3",24,1,70849,1,2,1
"59","Some Travel","Technology","NY","Single","No","No","STEM","White","Other","Software Engineer","4","0","4","3","3","2","2",26,12,37530,5,3,2
