"","BusinessTravel","Department","State","MaritalStatus","Attrition","OverTime","EducationField_Grouped","Ethnicity_Grouped","Gender_Grouped","JobRole_Grouped","Education","StockOptionLevel","EnvironmentSatisfaction","JobSatisfaction","RelationshipSatisfaction","WorkLifeBalance","ManagerRating","Age","DistanceFromHome..KM.","Salary","YearsSinceLastPromotion","TrainingOpportunitiesWithinYear","TrainingOpportunitiesTaken"
"2","Some Travel","Technology","CA","Married","No","No","STEM","Black","Male","AI/ML","2","0","4","5","5","4","4",30,6,126238,6,1,2
"3","Some Travel","Sales","CA","Married","Yes","Yes","Business","White","Male","Sales","1","1","1","3","4","2","4",23,35,97824,1,3,2
"4","Frequent Traveller","Technology","CA","Single","Yes","Yes","STEM","Black","Female","Software Engineer","1","0","3","4","5","3","4",30,44,68508,4,3,0
"5","Frequent Traveller","Technology","CA","Single","Yes","No","Business","White","Female","AI/ML","1","0","1","2","2","2","4",30,37,109778,0,3,0
"7","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","AI/ML","4","0","3","2","4","4","3",27,28,93291,2,3,3
"8","Some Travel","Sales","CA","Married","No","Yes","STEM","White","Male","Sales","2","1","3","4","3","4","2",20,39,22558,1,2,0
"10","Frequent Traveller","Technology","IL","Married","No","No","Business","Mixed/Other","Female","Software Engineer","3","0","5","3","2","5","3",32,14,86639,9,3,1
"12","Frequent Traveller","Sales","CA","Married","Yes","No","STEM","White","Male","Sales","3","1","4","2","2","3","2",29,42,78726,1,2,0
"13","Some Travel","Sales","IL","Married","No","Yes","Business","White","Female","Sales","4","0","3","5","4","2","2",23,7,72622,2,1,1
"14","Some Travel","Sales","CA","Married","No","No","Business","Black","Male","Sales","4","2","3","4","5","2","3",32,39,105748,1,2,2
"16","Some Travel","Technology","NY","Married","No","No","Other","White","Male","Software Engineer","4","2","4","5","5","3","2",23,8,42250,2,2,0
"17","Some Travel","Technology","CA","Single","No","No","Other","White","Other","Software Engineer","4","0","3","5","3","5","3",22,30,44135,1,3,0
"20","Some Travel","Technology","NY","Married","No","No","STEM","Black","Female","Software Engineer","3","1","4","2","4","5","2",34,41,50386,9,2,0
"23","Frequent Traveller","Technology","NY","Married","No","No","STEM","White","Male","Management","3","1","5","4","3","3","5",39,42,495977,2,3,1
"24","Some Travel","Technology","CA","Married","No","No","STEM","Asian","Male","AI/ML","3","0","3","3","5","5","4",44,29,57890,8,1,0
"25","Some Travel","Technology","CA","Single","No","No","Other","White","Male","Software Engineer","3","0","5","3","4","2","4",24,1,54501,4,1,2
"26","Some Travel","Technology","CA","Married","No","No","Business","Mixed/Other","Female","Software Engineer","2","0","4","5","5","5","3",26,16,34630,6,1,1
"27","Frequent Traveller","Sales","CA","Single","Yes","Yes","Business","Asian","Other","Sales","3","0","3","5","4","4","3",27,41,28984,1,1,3
"28","Some Travel","Technology","NY","Single","No","No","STEM","White","Female","AI/ML","1","0","5","3","2","4","5",24,5,100818,3,1,0
"29","No Travel ","Technology","CA","Married","No","Yes","STEM","Black","Female","Software Engineer","2","1","3","5","2","4","5",24,7,126527,5,1,2
"30","Some Travel","Sales","CA","Divorced","Yes","Yes","Business","Mixed/Other","Male","Sales","2","2","3","2","4","2","2",25,4,57698,6,1,0
"32","Some Travel","Sales","CA","Married","Yes","No","Business","White","Female","Sales","3","2","3","4","5","4","4",21,36,76057,0,1,1
"33","Frequent Traveller","Sales","NY","Married","Yes","No","Business","White","Male","Sales","3","0","3","3","4","2","2",34,45,341971,0,3,0
"35","Frequent Traveller","Technology","NY","Married","No","Yes","STEM","White","Female","Software Engineer","4","2","5","4","5","2","2",24,30,66110,2,3,3
"36","Some Travel","Technology","CA","Single","Yes","No","STEM","White","Male","AI/ML","2","0","1","4","3","4","4",39,5,58685,6,3,0
"37","No Travel ","Sales","NY","Divorced","No","Yes","Business","White","Male","Sales","4","1","4","3","3","2","3",25,35,149519,4,2,1
"38","Some Travel","Sales","NY","Divorced","No","No","Business","White","Male","Management","2","1","4","4","3","4","4",44,40,285620,8,2,1
"39","Some Travel","Technology","CA","Divorced","No","No","STEM","Asian","Male","AI/ML","3","1","5","3","3","3","2",26,18,54470,6,1,0
"43","Some Travel","Technology","CA","Single","No","No","STEM","White","Other","Management","3","0","3","4","4","3","2",33,44,230945,2,1,0
"44","No Travel ","Sales","NY","Married","No","No","Other","White","Male","Sales","4","0","5","4","2","4","4",47,17,176158,10,3,1
"45","Some Travel","Technology","CA","Single","No","No","STEM","White","Other","Management","3","0","2","1","4","3","3",33,26,267009,1,3,2
"47","Some Travel","Technology","NY","Single","Yes","No","STEM","White","Male","AI/ML","4","0","5","4","4","3","5",21,25,34634,1,3,1
"48","Some Travel","Technology","NY","Married","No","No","STEM","Black","Female","Software Engineer","4","1","3","4","2","3","2",26,43,30217,4,3,0
"49","Some Travel","Technology","NY","Married","No","Yes","STEM","Mixed/Other","Male","AI/ML","2","1","4","3","4","1","5",23,33,26198,4,2,0
"51","Some Travel","Technology","CA","Single","Yes","Yes","Business","White","Female","Software Engineer","3","0","3","4","2","5","2",26,20,33273,1,3,0
"52","No Travel ","Sales","CA","Single","No","Yes","STEM","Mixed/Other","Male","Sales","3","0","4","4","3","3","4",22,14,53014,3,1,2
"53","Some Travel","Technology","NY","Married","No","No","STEM","Mixed/Other","Male","Software Engineer","4","2","3","2","3","4","4",25,28,29126,2,2,0
"54","Some Travel","Technology","CA","Married","No","No","STEM","White","Male","AI/ML","2","1","3","4","4","5","2",23,8,46850,4,3,0
"55","Some Travel","Sales","CA","Single","No","No","Business","Mixed/Other","Female","Sales","3","0","3","3","3","4","5",24,33,91915,4,2,1
"56","Frequent Traveller","Technology","CA","Single","No","Yes","STEM","White","Female","Management","4","0","4","4","1","3","4",39,25,300594,4,2,0
"57","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","AI/ML","2","1","3","4","4","3","3",20,30,41179,0,1,0
"58","Some Travel","Technology","NY","Married","No","No","STEM","White","Male","Software Engineer","4","2","3","2","3","2","3",24,1,70849,1,2,1
"60","Some Travel","Sales","NY","Married","No","No","Business","White","Female","Sales","3","1","3","2","5","2","2",35,23,81389,7,2,0
"61","Some Travel","Technology","NY","Married","No","No","STEM","White","Male","Software Engineer","4","0","3","4","2","2","2",22,18,68743,3,1,2
"62","Some Travel","Technology","CA","Divorced","No","Yes","STEM","White","Male","Software Engineer","3","1","4","5","5","5","5",21,30,37164,3,1,0
"64","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","AI/ML","1","0","5","3","3","4","4",48,25,47464,8,2,1
"65","Frequent Traveller","Technology","CA","Married","No","No","STEM","Mixed/Other","Female","AI/ML","4","2","3","3","2","2","3",28,38,87704,3,3,1
"66","Frequent Traveller","Human Resources","CA","Married","No","Yes","Other","Black","Male","HR","4","1","5","4","3","2","3",21,42,42303,2,1,1
"67","Some Travel","Technology","CA","Single","Yes","No","STEM","Mixed/Other","Other","AI/ML","3","0","5","4","3","4","4",24,23,100586,4,1,1
"68","Some Travel","Technology","IL","Married","No","Yes","STEM","White","Female","AI/ML","3","1","4","2","4","5","4",32,16,228427,1,2,3
"69","Some Travel","Technology","CA","Divorced","Yes","No","Business","Asian","Female","AI/ML","3","1","4","2","4","2","3",29,44,67578,0,1,0
"70","Some Travel","Technology","CA","Single","No","Yes","STEM","Black","Other","AI/ML","2","0","5","2","2","4","5",44,14,92634,9,2,1
"71","No Travel ","Technology","CA","Single","No","Yes","Other","White","Female","Software Engineer","4","0","4","5","5","3","2",25,28,68762,5,2,0
"72","Frequent Traveller","Technology","NY","Single","No","No","STEM","White","Male","AI/ML","2","0","5","3","2","4","3",25,35,28139,1,1,1
"73","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","Software Engineer","3","1","5","5","2","4","4",31,21,127182,0,2,1
"74","Some Travel","Technology","NY","Married","No","No","Business","Mixed/Other","Female","Software Engineer","3","1","2","2","4","3","2",25,22,53271,5,3,1
"75","Frequent Traveller","Sales","NY","Single","No","Yes","Business","White","Male","Sales","2","1","3","3","4","2","5",19,14,74458,0,2,0
"76","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","4","0","4","4","3","5","2",24,5,100576,0,3,0
"77","Some Travel","Technology","CA","Single","No","No","STEM","Black","Female","Software Engineer","2","0","4","3","5","5","4",30,33,55485,9,2,1
"79","No Travel ","Sales","CA","Divorced","No","No","Business","White","Female","Sales","4","2","3","2","4","4","4",24,30,28898,1,1,2
"82","Some Travel","Sales","NY","Divorced","No","No","Business","White","Male","Sales","3","1","5","5","5","5","2",44,35,223619,2,2,0
"83","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","2","1","4","5","4","4","5",19,24,31014,1,1,3
"84","Some Travel","Technology","IL","Married","Yes","Yes","Other","Asian","Female","AI/ML","4","0","4","3","3","5","4",30,1,40285,1,1,0
"86","Some Travel","Technology","IL","Married","No","No","STEM","White","Female","Software Engineer","4","1","4","4","3","3","4",22,40,66266,1,1,2
"87","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","Software Engineer","4","2","4","4","5","2","4",27,31,120225,5,2,3
"88","Frequent Traveller","Technology","CA","Married","No","Yes","STEM","White","Other","AI/ML","2","1","3","3","4","5","2",34,12,44057,7,3,0
"90","Some Travel","Technology","CA","Single","Yes","No","STEM","Mixed/Other","Male","AI/ML","3","0","2","2","2","3","4",22,23,37021,1,2,1
"91","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","3","0","4","3","2","4","4",41,22,235812,2,1,1
"92","Some Travel","Technology","CA","Married","Yes","Yes","STEM","White","Male","Software Engineer","3","0","4","2","4","3","4",43,17,50946,7,1,1
"93","Some Travel","Sales","CA","Married","No","Yes","STEM","Mixed/Other","Male","Management","2","1","4","3","3","3","4",39,38,300299,7,3,3
"95","Some Travel","Sales","CA","Divorced","No","No","Business","Mixed/Other","Female","Sales","3","3","3","2","5","5","4",45,34,173037,9,3,1
"97","Some Travel","Sales","CA","Married","No","Yes","Business","Mixed/Other","Other","Sales","3","0","5","3","4","3","2",24,22,53530,3,3,0
"98","Some Travel","Technology","IL","Married","No","No","STEM","White","Female","Software Engineer","3","1","4","4","5","4","5",30,8,70771,9,3,0
"99","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","Software Engineer","4","1","4","3","4","3","4",36,10,297181,2,3,1
"100","Frequent Traveller","Sales","CA","Single","Yes","No","STEM","White","Female","Sales","1","0","5","2","3","4","4",48,2,37124,8,2,1
"101","Some Travel","Technology","CA","Single","Yes","Yes","STEM","White","Female","Software Engineer","1","0","5","3","2","5","5",20,6,30714,1,3,0
"102","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Female","Software Engineer","4","1","3","4","5","5","2",35,36,59086,8,1,1
"103","Some Travel","Technology","IL","Married","No","No","STEM","White","Male","Management","3","0","3","3","4","2","4",37,29,513608,7,3,1
"104","No Travel ","Technology","CA","Married","No","No","STEM","Mixed/Other","Female","AI/ML","3","0","3","3","5","2","3",41,22,52581,8,1,0
"105","Some Travel","Technology","CA","Single","No","No","Business","Mixed/Other","Male","Software Engineer","3","0","5","5","2","2","3",36,10,189405,6,3,1
"106","Some Travel","Technology","NY","Married","No","Yes","STEM","White","Other","AI/ML","1","2","4","5","2","2","3",22,16,78467,1,3,0
"107","No Travel ","Sales","IL","Divorced","No","No","Business","White","Female","Sales","1","3","5","4","3","5","2",22,16,27053,2,2,0
"108","Frequent Traveller","Technology","NY","Divorced","Yes","No","STEM","White","Male","Software Engineer","3","3","4","2","2","3","2",24,15,139627,4,3,1
"109","Some Travel","Sales","NY","Single","No","No","Business","White","Female","Management","4","0","2","3","4","2","4",47,14,410970,5,1,1
"111","No Travel ","Technology","IL","Divorced","No","Yes","STEM","White","Female","Software Engineer","1","1","4","5","4","2","3",36,35,356378,4,1,1
"112","Some Travel","Technology","NY","Married","No","No","STEM","Asian","Other","AI/ML","3","2","4","2","3","3","4",27,4,60967,7,3,2
"113","Some Travel","Sales","CA","Single","Yes","No","Business","Black","Male","Sales","4","0","3","4","3","5","5",27,1,30870,2,3,1
"114","Frequent Traveller","Sales","CA","Single","Yes","Yes","Business","White","Female","Sales","2","0","3","4","5","3","2",34,15,173246,7,2,0
"115","Some Travel","Technology","NY","Single","Yes","No","Other","Mixed/Other","Female","Software Engineer","1","0","3","2","3","1","3",31,14,63482,1,3,0
"116","Some Travel","Sales","IL","Single","Yes","No","Business","Mixed/Other","Female","Sales","2","0","5","3","2","3","3",25,38,57018,0,2,0
"117","Some Travel","Sales","IL","Single","No","No","Business","Asian","Female","Sales","3","0","1","1","2","4","3",39,37,65612,8,3,3
"118","Some Travel","Sales","CA","Married","No","No","Business","Mixed/Other","Other","Sales","3","0","3","1","2","4","2",33,30,90726,5,1,2
"119","Frequent Traveller","Technology","IL","Single","No","No","STEM","Asian","Female","AI/ML","2","0","5","2","3","3","3",33,34,91407,9,2,2
"121","Frequent Traveller","Technology","NY","Married","No","Yes","STEM","White","Female","Management","3","0","3","5","2","4","3",46,24,514945,7,3,1
"122","Some Travel","Technology","IL","Married","Yes","No","Business","White","Female","Management","3","0","1","3","1","4","3",38,10,303360,0,1,2
"123","Some Travel","Technology","CA","Single","No","No","STEM","Black","Female","Software Engineer","3","0","3","3","2","4","2",48,17,65860,7,3,1
"124","Some Travel","Sales","IL","Married","No","Yes","Business","White","Male","Sales","4","2","5","5","2","5","4",26,36,70455,1,2,2
"125","Some Travel","Sales","CA","Married","Yes","No","Business","Black","Male","Sales","4","3","3","3","4","4","2",24,21,85118,0,1,1
"126","Some Travel","Technology","NY","Single","Yes","Yes","STEM","Mixed/Other","Female","Software Engineer","3","0","3","5","4","2","3",26,37,26296,2,2,1
"127","Frequent Traveller","Technology","CA","Divorced","No","Yes","STEM","White","Male","Management","1","1","5","5","2","4","4",31,38,547204,8,2,1
"129","Some Travel","Sales","CA","Married","No","No","Business","Black","Female","Management","5","1","5","4","3","4","5",31,38,330940,3,1,0
"130","Frequent Traveller","Sales","NY","Single","Yes","Yes","Business","Mixed/Other","Female","Sales","3","0","5","5","3","2","2",22,19,22122,2,3,0
